Index,Height(Inches),Weight(Pounds)
2,71.52,136.49
8,70.01,136.46
16,71.09,140.0
19,71.23,137.9
27,70.84,142.42
34,70.6,136.22
35,71.8,140.1
53,70.27,125.48
56,70.18,147.89
57,70.41,155.9
65,70.81,135.32
72,70.84,134.02
83,70.05,155.38
88,70.09,131.59
89,70.18,121.12
92,70.24,141.49
93,71.49,140.61
95,70.06,133.46
96,70.56,131.8
112,70.05,127.61
113,70.19,131.64
115,70.01,122.04
130,70.24,133.98
132,71.23,130.7
135,71.1,128.14
139,73.9,151.39
155,72.44,136.74
157,70.98,158.96
159,72.02,138.78
175,73.83,139.3
191,70.19,144.99
200,71.39,127.88
